Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
4309 SUL;1;3;3;3;2;-;2;1;1;1;1;2;-;3;1;-;-;-;1;-;3;-;3;-;2
4310 SERRA;1;1;-;1;-;2;2;4;1;1;-;1;1;1;1;1;1;1;2;1;1;3;-;1;-
4310 SERRA;1;3;1;2;1;1;2;2;2;2;3;1;2;2;-;3;-;2;1;-;-;-;-;-;-
4312 MISSIONEIRA;4;-;1;1;1;-;1;3;1;1;1;-;-;-;1;-;1;-;2;1;-;1;-;-;-
4313 METROPOLITANA;9;7;6;8;11;4;9;-;5;7;7;4;3;4;5;8;10;7;4;2;4;4;1;6;4
4314 CENTRO-OESTE;2;2;-;1;2;-;3;2;-;1;-;1;1;1;1;1;-;-;3;1;2;1;-;1;-
5005 TRES LAGOAS;1;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-
5006 DOURADOS;1;1;-;-;-;2;-;-;1;-;2;2;-;1;-;-;1;-;-;1;-;-;1;1;-
5007 CORUMBA;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-
5008 CAMPO GRANDE;3;2;2;1;2;1;3;2;2;-;1;2;5;3;1;4;3;-;1;-;2;-;1;-;1
5101 MACRORREGIAO SUL;-;-;-;1;-;1;-;1;-;1;1;-;3;-;-;1;-;-;1;1;-;2;1;1;-
5102 MACRORREGIAO OESTE;-;-;-;-;-;-;-;2;-;-;1;1;-;-;1;-;-;-;-;1;-;1;-;-;-
5103 MACRORREGIAO NORTE;-;-;1;-;3;-;-;-;1;-;-;-;-;2;1;1;2;3;-;2;-;1;1;2;-
5104 MACRORREGIAO LESTE;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-
5105 MACRORREGIAO CENTRO-NORTE;2;1;3;3;1;2;2;1;2;-;3;2;-;3;-;1;2;1;2;2;-;3;2;3;2
5206 MACRORREGIAO SUDOESTE;-;1;1;1;-;1;1;1;1;1;2;-;-;-;-;1;1;-;1;2;1;-;1;-;-
5207 MACRORREGIAO NORDESTE;1;-;2;1;2;-;1;-;-;2;-;2;1;2;4;1;1;1;1;-;3;1;1;3;1
5208 MACRORREGIAO CENTRO-OESTE;3;3;4;3;1;-;3;3;8;4;5;1;4;5;2;3;3;1;1;4;-;3;8;-;2
5209 MACRORREGIAO CENTRO-NORTE;-;3;-;2;2;2;4;1;1;1;4;-;1;2;1;3;1;1;3;1;1;-;-;-;-
5210 MACRORREGIAO CENTRO SUDESTE;2;-;2;2;-;2;2;1;1;-;2;-;2;1;1;2;2;1;4;2;3;3;1;-;1
5302 MACRORREGIÃO DE BRASÍLIA;3;4;3;3;2;2;7;3;2;2;4;4;3;4;5;3;4;2;3;4;4;1;1;2;2
5303 MACRORREGIÃO DE SAÚDE I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5304 MACRORREGIÃO DE SAÚDE II;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5305 MACRORREGIÃO DE SAÚDE III;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 ;;;;;;;;;;;;;;;;;;;;;;;;;
