Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
3522 RRAS5;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-
3523 RRAS4;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-
3524 RRAS3;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-
3525 RRAS2;1;2;2;1;-;-;-;1;-;1;-;-;1;-;-;1;2;-;-;-;1;1;-;1;-
3526 RRAS17;-;-;1;-;1;-;-;1;-;1;-;-;1;-;-;-;1;-;-;1;1;-;1;1;-
3527 RRAS16;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
3528 RRAS15;2;-;-;1;1;-;-;-;-;-;-;-;3;-;-;1;3;2;-;-;1;-;-;-;-
3529 RRAS14;3;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;-;-;-;-;1;-;-;-
3530 RRAS13;1;-;2;-;2;1;-;1;1;2;-;-;-;-;-;2;-;-;-;1;-;-;-;-;3
3531 RRAS12;1;-;-;1;1;2;-;-;-;1;-;2;1;-;1;-;-;-;-;2;1;-;1;1;-
3532 RRAS11;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3533 RRAS10;-;1;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-
3534 RRAS1;3;-;1;-;-;-;-;3;1;1;-;-;1;1;-;-;1;-;-;-;1;-;-;-;1
4105 MACRORREGIONAL NORTE;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-
4106 MACRORREGIONAL NOROESTE;-;-;1;1;-;-;-;-;-;1;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-
4107 MACRORREGIONAL LESTE;2;1;2;1;-;1;1;1;3;1;3;-;1;2;-;-;-;-;3;1;1;2;1;-;1
4108 MACRORREGIAO OESTE;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
4210 SUL;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
4211 PLANALTO NORTE E NORDESTE;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-
4212 MEIO OESTE E SERRA CATARINENSE;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-
4213 GRANDE OESTE;1;1;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-
4214 GRANDE FLORIANOPOLIS;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
4215 FOZ DO RIO ITAJAI;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
4216 ALTO VALE DO ITAJAI;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
4308 VALES;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-
4309 SUL;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-
4310 SERRA;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-
4310 SERRA;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-
4312 MISSIONEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-
4313 METROPOLITANA;-;-;-;2;-;-;2;-;-;-;1;-;1;-;-;1;2;-;2;-;1;1;-;1;1
4314 CENTRO-OESTE;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-
5005 TRES LAGOAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5006 DOURADOS;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;-
5007 CORUMBA;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5008 CAMPO GRANDE;1;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;1;-;1;-;-;1;-;-
5101 MACRORREGIAO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-
5102 MACRORREGIAO OESTE;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
5103 MACRORREGIAO NORTE;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1
5104 MACRORREGIAO LESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5105 MACRORREGIAO CENTRO-NORTE;-;-;1;-;-;1;1;1;1;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-
5206 MACRORREGIAO SUDOESTE;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-
5207 MACRORREGIAO NORDESTE;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-
5208 MACRORREGIAO CENTRO-OESTE;1;1;-;-;-;-;-;1;-;-;-;1;2;-;-;-;1;1;1;-;-;-;-;-;2
5209 MACRORREGIAO CENTRO-NORTE;-;-;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-
5210 MACRORREGIAO CENTRO SUDESTE;-;-;-;-;-;-;-;1;1;-;1;1;-;1;1;-;1;-;-;-;-;1;1;-;2
5302 MACRORREGIÃO DE BRASÍLIA;2;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;1;-;1;-;1;-;-
5303 MACRORREGIÃO DE SAÚDE I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5304 MACRORREGIÃO DE SAÚDE II;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5305 MACRORREGIÃO DE SAÚDE III;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
