Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
2307 4ª MACRO - SERTAO CENTRAL;-;-;2;2;1;-;1;1;-;1;2;1;2;-;2;-;1;-;-;-;-;-;1;1;1
2308 3ª MACRO - CARIRI;-;-;2;1;2;-;2;3;2;1;-;3;1;2;3;1;1;1;2;1;2;2;1;1;1
2309 2ª MACRO - SOBRAL;2;2;2;1;3;2;4;1;2;4;1;3;3;4;-;2;3;2;2;-;2;3;1;1;2
2310 1ª MACRO - FORTALEZA;3;7;12;10;9;3;5;7;3;4;4;5;5;4;5;5;8;2;8;2;2;5;4;6;10
2401 MACRORREGIAO II;3;1;2;1;1;1;1;-;3;2;-;-;-;-;-;3;2;-;1;1;2;2;-;1;-
2402 MACRORREGIAO I;3;3;4;7;4;2;1;1;2;4;2;2;1;1;4;2;1;2;1;1;4;6;3;5;2
2501 MACRORREGIAO III - SERTAO/ALTO SERTAO;-;-;1;-;-;-;-;2;-;2;-;-;1;-;-;-;-;2;-;1;2;-;-;3;-
2502 MACRORREGIAO II - CAMPINA GRANDE;1;1;1;1;-;-;-;-;3;-;1;1;-;2;2;1;-;-;2;2;1;2;-;1;1
2503 MACRORREGIAO I - JOAO PESSOA;2;1;2;3;1;1;5;-;4;1;4;2;1;3;3;3;1;-;-;4;5;1;2;1;1
2605 VALE DO S.FRANCISCO E ARARIPE;-;-;1;1;1;2;-;3;-;-;-;-;1;-;1;1;2;3;3;1;-;-;1;1;2
2606 SERTAO;-;1;1;1;-;2;-;1;-;-;-;-;-;3;1;-;3;3;2;-;2;-;-;1;-
2607 METROPOLITANA;4;4;3;6;3;5;3;3;4;4;1;4;2;3;2;3;3;4;6;3;6;5;2;1;3
2608 AGRESTE;-;4;-;3;1;-;3;2;-;-;1;2;1;2;1;4;-;1;1;2;-;2;2;-;1
2703 2ª MACRORREGIAO DE SAUDE;-;-;1;3;2;2;2;3;-;1;-;1;2;1;-;2;1;-;1;1;1;2;3;1;1
2704 1ª MACRORREGIAO DE SAUDE;3;1;5;2;5;3;2;-;6;4;5;-;4;4;3;4;4;3;5;6;4;2;4;5;1
2801 MACRO UNICA;1;2;4;4;4;3;1;1;4;1;-;5;2;3;3;4;2;2;1;5;2;3;1;3;1
2910 SUL (NBS - ILHEUS);-;-;2;-;3;-;-;-;-;1;2;-;1;3;2;2;1;2;-;1;-;1;-;3;-
2911 SUDOESTE (NBS - VITORIA CONQUISTA);2;1;-;1;1;1;-;2;1;2;2;-;2;2;1;2;-;2;3;4;2;1;1;-;-
2912 OESTE (NBS - BARREIRAS);1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;2;-;-
2913 NORTE - (NRS - JUAZEIRO);-;-;2;-;-;1;-;-;1;-;1;-;2;2;-;2;1;-;-;3;1;-;1;-;3
2914 NORDESTE (NRS - ALAGOINHAS);-;-;1;-;1;-;-;1;1;-;-;-;-;2;-;-;3;1;2;-;-;2;-;-;-
2915 LESTE - (NRS - SALVADOR);7;3;1;4;2;3;6;3;2;2;2;2;4;6;1;5;5;1;5;2;3;2;3;3;2
2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS);1;-;-;-;-;-;1;1;-;2;-;-;1;1;-;1;1;1;3;-;2;2;-;-;1
2917 CENTRO-LESTE (NRS - FEIRA SANTANA);-;-;-;1;2;3;1;1;-;-;1;2;1;2;1;1;1;1;1;-;5;2;1;-;1
2918 CENTRO - NORTE (NRS - JACOBINA);1;1;1;-;-;1;3;-;1;1;-;-;1;1;-;-;-;2;-;-;1;1;-;-;-
3101 SUL;3;6;2;5;3;3;4;1;1;3;4;4;2;3;2;3;1;-;3;2;1;1;3;1;2
3102 CENTRO SUL;-;-;1;-;1;-;-;1;1;1;1;3;-;-;-;1;1;-;2;3;-;1;1;-;-
3103 CENTRO;2;7;10;7;8;4;6;6;4;9;2;-;8;4;6;2;10;4;6;8;3;1;6;5;5
3104 JEQUITINHONHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1
3105 OESTE;2;1;1;-;-;3;-;2;-;-;1;1;2;1;-;1;2;1;1;-;1;1;1;1;-
3106 LESTE;-;-;1;-;1;1;-;-;-;1;-;-;1;-;-;2;3;-;1;-;1;-;-;-;-
3107 SUDESTE;-;1;1;2;2;5;2;1;4;1;1;-;2;3;2;1;1;-;1;3;-;1;4;2;3
3108 NORTE;1;3;-;1;1;1;1;4;2;3;3;3;1;2;1;-;1;3;-;-;1;1;1;-;2
3109 NOROESTE;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;1;-;-;-
3110 LESTE DO SUL;-;1;-;-;1;2;-;-;2;1;1;-;1;2;-;-;2;2;-;-;1;1;1;1;1
3111 NORDESTE;-;-;-;2;-;-;2;-;-;-;1;-;-;1;-;1;2;2;-;-;-;-;1;-;1
3112 TRIANGULO DO SUL;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;-;-;2;1;-;-
3113 TRIANGULO DO NORTE;1;2;4;-;1;3;1;-;2;-;-;1;1;2;2;1;-;2;1;2;2;-;1;1;1
3114 VALE DO ACO;1;1;-;1;-;-;-;1;2;1;-;1;1;-;-;-;-;1;1;1;1;-;-;-;-
3205 SUL;-;1;1;-;-;-;1;-;1;-;-;1;1;1;-;1;-;1;-;-;2;-;1;1;-
3206 NORTE;-;-;-;1;-;2;-;-;1;1;-;2;1;-;1;1;1;-;-;-;-;-;-;1;-
3207 METROPOLITANA;-;2;2;4;1;2;-;1;1;1;3;2;1;3;2;2;1;2;2;3;3;1;4;4;2
3208 CENTRAL;-;-;1;-;-;2;-;-;-;1;1;-;1;-;-;1;1;-;1;-;4;-;-;2;1
3312 MACRORREGIAO I;18;20;26;19;17;12;10;15;15;15;15;9;11;9;11;13;17;11;4;12;12;16;9;13;7
3518 RRAS9;2;2;1;1;3;1;2;5;2;4;2;1;-;1;-;2;-;1;1;4;1;1;3;3;1
3519 RRAS8;3;2;3;2;2;2;2;1;2;3;1;4;1;1;1;1;5;5;3;-;3;2;1;3;1
3520 RRAS7;1;4;2;1;2;4;3;1;2;3;2;1;2;3;3;2;1;-;2;-;2;2;2;2;-
3521 RRAS6;11;17;13;6;11;14;10;18;7;10;17;12;6;5;12;7;6;7;3;6;9;7;10;7;4
3522 RRAS5;5;1;2;1;4;1;-;1;3;1;-;1;1;2;2;-;2;1;1;1;2;-;1;2;-
3523 RRAS4;-;2;1;-;-;3;-;-;1;1;1;1;-;-;1;-;1;-;2;1;-;1;1;1;-
3524 RRAS3;-;2;2;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;2;-;-;-;-;1;1
3525 RRAS2;3;3;3;3;2;2;3;4;5;2;5;4;2;1;-;6;4;1;1;-;3;4;4;3;1
3526 RRAS17;3;1;2;6;4;5;4;1;1;2;2;1;1;4;2;1;-;2;1;2;-;2;2;6;1
3527 RRAS16;1;-;1;-;1;1;-;-;2;1;2;2;2;1;-;-;-;2;-;2;-;2;-;2;-
3528 RRAS15;5;-;2;2;4;4;2;5;4;2;3;1;2;1;3;-;3;1;-;-;4;2;2;3;1
3529 RRAS14;-;2;1;-;2;-;4;2;1;1;-;2;1;-;2;-;1;1;2;-;1;1;2;-;2
3530 RRAS13;4;7;2;2;2;3;4;3;2;3;4;3;2;5;-;3;3;3;5;3;1;3;1;-;4
3531 RRAS12;4;1;3;1;5;2;3;4;-;2;-;3;4;1;1;-;1;3;-;1;4;1;2;1;3
3532 RRAS11;1;-;-;1;1;-;1;1;-;-;-;1;3;2;-;1;1;-;1;-;2;-;-;-;-
3533 RRAS10;2;2;3;2;1;1;2;1;2;2;1;1;-;2;3;1;2;-;1;-;-;-;-;-;2
3534 RRAS1;1;4;1;5;6;1;2;2;4;2;1;1;2;3;2;2;4;3;3;-;-;-;1;1;-
4105 MACRORREGIONAL NORTE;4;3;-;4;2;4;2;3;3;2;2;1;1;4;1;5;3;3;3;3;2;1;1;3;3
4106 MACRORREGIONAL NOROESTE;2;4;1;4;3;3;3;3;3;1;1;-;2;1;-;-;1;2;2;1;1;1;3;2;2
4107 MACRORREGIONAL LESTE;5;6;9;4;12;4;5;8;7;5;8;6;4;4;2;3;4;5;3;3;2;-;1;1;3
4108 MACRORREGIAO OESTE;5;2;3;4;2;1;1;2;2;3;1;3;2;2;3;-;2;2;2;1;2;1;-;4;2
4210 SUL;1;2;1;-;-;-;2;-;2;1;2;-;-;2;2;2;1;1;-;-;-;1;-;-;-
4211 PLANALTO NORTE E NORDESTE;2;-;2;-;2;1;2;2;-;2;3;2;1;1;2;1;2;-;1;4;-;1;1;2;-
4212 MEIO OESTE E SERRA CATARINENSE;1;1;-;1;1;3;1;1;1;1;-;-;1;1;-;2;-;1;2;2;-;1;-;-;1
4213 GRANDE OESTE;-;3;2;2;-;1;-;4;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-
4214 GRANDE FLORIANOPOLIS;1;2;1;-;-;-;2;1;-;-;-;-;-;-;2;1;-;2;1;1;-;-;-;-;1
4215 FOZ DO RIO ITAJAI;-;-;-;-;1;-;3;-;1;1;-;1;-;-;-;1;2;-;-;-;-;-;1;-;1
4216 ALTO VALE DO ITAJAI;-;-;1;-;-;-;3;-;-;1;-;-;4;-;1;1;1;3;-;1;1;-;1;1;-
4308 VALES;2;2;1;-;1;1;-;1;1;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-
4309 SUL;2;-;-;-;1;-;-;1;-;-;-;-;1;-;1;1;2;-;3;3;1;-;2;-;-
4310 SERRA;2;-;3;1;-;5;-;-;1;-;2;2;2;2;1;2;1;2;-;1;2;-;-;5;1
4310 SERRA;-;3;3;3;5;4;2;2;-;1;-;1;2;1;1;1;1;1;2;-;1;1;-;1;-
4312 MISSIONEIRA;1;1;2;-;-;4;2;3;2;-;2;-;-;-;-;-;-;1;-;1;-;1;-;1;-
4313 METROPOLITANA;6;3;9;8;3;3;6;4;5;5;5;2;2;3;6;1;3;2;3;2;4;3;1;5;2
4314 CENTRO-OESTE;1;1;2;1;-;3;1;-;3;1;-;-;-;-;-;2;-;-;2;-;-;-;-;-;2
5005 TRES LAGOAS;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-
5006 DOURADOS;1;2;2;7;-;-;1;2;1;2;2;1;-;1;-;-;-;-;-;-;-;-;1;3;1
5007 CORUMBA;1;-;-;1;1;-;-;-;1;-;1;1;-;-;-;-;-;1;1;-;1;1;-;-;-
5008 CAMPO GRANDE;3;2;3;2;-;3;2;1;-;2;1;5;-;1;5;-;4;-;1;4;3;2;1;-;2
5101 MACRORREGIAO SUL;1;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;1;-;-
5102 MACRORREGIAO OESTE;-;-;3;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
5103 MACRORREGIAO NORTE;-;-;1;-;-;-;-;-;2;2;-;-;-;3;1;2;1;-;-;3;1;-;2;-;2
5104 MACRORREGIAO LESTE;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-
5105 MACRORREGIAO CENTRO-NORTE;6;1;-;4;3;-;4;2;5;2;3;3;3;-;1;2;4;-;3;3;-;1;2;-;-
5206 MACRORREGIAO SUDOESTE;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;1;-;1;-;1;-;-;-
5207 MACRORREGIAO NORDESTE;2;-;2;-;1;-;-;-;1;-;-;-;-;-;1;2;1;4;-;2;3;1;1;1;2
5208 MACRORREGIAO CENTRO-OESTE;5;2;1;4;3;3;1;4;3;1;-;2;3;5;2;2;2;2;1;-;1;3;3;2;1
5209 MACRORREGIAO CENTRO-NORTE;-;-;-;1;1;2;-;-;2;-;-;2;-;1;2;2;2;-;1;-;1;2;1;3;-
5210 MACRORREGIAO CENTRO SUDESTE;-;2;-;-;3;-;-;-;-;1;3;1;-;2;-;1;2;1;5;-;-;2;1;-;1
5302 MACRORREGIÃO DE BRASÍLIA;1;5;4;1;1;-;2;2;2;1;2;3;1;1;4;2;2;4;-;5;2;1;4;2;1
5303 MACRORREGIÃO DE SAÚDE I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5304 MACRORREGIÃO DE SAÚDE II;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5305 MACRORREGIÃO DE SAÚDE III;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 ;;;;;;;;;;;;;;;;;;;;;;;;;
